startTime,endTime,label
0.07406,20.36924,water
20.51738,20.51738,tissue
20.66552,20.66552,water
20.81366,20.81366,tissue
20.96180,30.59090,water
30.73904,30.73904,tissue
30.88718,37.10906,water
37.25720,37.25720,tissue
37.40534,44.96048,water
45.10862,45.10862,tissue
45.25676,48.07142,water
48.21956,48.21956,tissue
48.36770,51.92306,water
52.07120,52.07120,tissue
52.21934,56.07098,water
56.21912,56.21912,tissue
56.36726,58.29308,water
58.44122,58.44122,tissue
58.58936,61.55216,water
61.70030,61.70030,tissue
61.84844,63.62612,water
63.77426,63.77426,tissue
63.92240,65.55194,water
65.70008,65.70008,tissue
65.84822,68.51474,water
68.66288,68.66288,tissue
68.81102,72.95894,water
73.10708,73.10708,tissue
73.25522,73.40336,water
73.55150,73.55150,tissue
73.69964,173.39786,water
173.54600,173.54600,tissue
173.69414,173.69414,water
173.84228,173.84228,tissue
173.99042,179.02718,water
179.17532,179.17532,tissue
179.32346,180.50858,water
180.65672,180.65672,tissue
180.80486,181.98998,water
182.13812,182.13812,tissue
182.28626,184.95278,water
185.10092,185.10092,tissue
185.24906,187.91558,water
188.06372,188.06372,tissue
188.21186,190.73024,water
190.87838,190.87838,tissue
191.02652,195.61886,water
195.76700,195.76700,tissue
195.91514,195.91514,water
196.06328,196.06328,tissue
196.21142,199.61864,water
199.76678,199.76678,tissue
199.91492,199.91492,water
200.06306,200.06306,tissue
200.21120,203.47028,water
203.61842,203.61842,tissue
203.76656,203.91470,water
204.06284,204.06284,tissue
204.21098,206.58122,water
206.72936,206.72936,tissue
206.87750,243.02366,water
243.17180,243.17180,tissue
243.31994,254.13416,water
254.28230,254.28230,tissue
254.43044,256.65254,water
256.80068,256.80068,tissue
256.94882,256.94882,water
257.09696,257.09696,tissue
257.24510,260.05976,water
260.20790,260.20790,tissue
260.35604,263.17070,water
263.31884,263.31884,tissue
263.46698,265.83722,water
265.98536,265.98536,tissue
266.13350,268.65188,water
268.80002,268.80002,tissue
268.94816,272.35538,water
272.50352,272.50352,tissue
272.65166,272.65166,water
272.79980,272.79980,tissue
272.94794,275.91074,water
276.05888,276.05888,tissue
276.20702,277.68842,water
277.83656,277.83656,tissue
277.98470,278.57726,water
278.72540,278.72540,tissue
278.87354,282.57704,water
282.72518,282.72518,tissue
282.87332,284.65100,water
284.79914,284.79914,tissue
284.94728,285.39170,water
285.53984,285.53984,tissue
285.68798,285.83612,water
285.98426,285.98426,tissue
286.13240,286.13240,water
286.28054,286.28054,tissue
286.42868,317.98250,water
318.13064,318.13064,tissue
318.27878,337.98140,water
338.12954,338.12954,tissue
338.27768,383.75666,water
383.90480,383.90480,tissue
384.05294,385.53434,water
385.68248,385.68248,tissue
385.83062,387.75644,water
387.90458,387.90458,tissue
388.05272,389.68226,water
389.83040,389.83040,tissue
389.97854,391.60808,water
391.75622,391.75622,tissue
391.90436,393.68204,water
393.83018,393.83018,tissue
393.97832,396.20042,water
396.34856,396.34856,tissue
396.49670,398.57066,water
398.71880,398.71880,tissue
398.86694,400.49648,water
400.64462,400.64462,tissue
400.79276,402.57044,water
402.71858,402.71858,tissue
402.86672,404.49626,water
404.64440,404.64440,tissue
404.79254,405.08882,water
405.23696,405.23696,tissue
405.38510,405.53324,water
405.68138,405.68138,tissue
405.82952,424.93958,water
425.08772,425.08772,tissue
425.23586,428.79122,water
428.93936,428.93936,tissue
429.08750,452.19734,water
452.34548,452.34548,tissue
452.49362,461.23388,water
461.38202,461.38202,tissue
461.53016,461.53016,water
461.67830,461.67830,tissue
461.82644,463.60412,water
463.75226,463.75226,tissue
463.90040,465.82622,water
465.97436,465.97436,tissue
466.12250,468.19646,water
468.34460,468.34460,tissue
468.49274,473.08508,water
473.23322,473.23322,tissue
473.38136,476.78858,water
476.93672,476.93672,tissue
477.08486,479.60324,water
479.75138,479.75138,tissue
479.89952,486.56582,water
486.71396,486.71396,tissue
486.86210,487.01024,water
487.15838,487.15838,tissue
487.30652,488.78792,water
488.93606,488.93606,tissue
489.08420,489.38048,water
489.52862,489.52862,tissue
489.67676,524.04524,water
524.19338,524.19338,tissue
524.34152,524.63780,water
524.78594,524.78594,tissue
524.93408,556.48790,water
556.63604,556.63604,tissue
556.78418,565.96886,water
566.11700,566.11700,tissue
566.26514,566.85770,water
567.00584,567.00584,tissue
567.15398,577.22750,water
577.37564,577.37564,tissue
577.52378,578.26448,water
578.41262,578.41262,tissue
578.56076,579.00518,water
579.15332,579.15332,tissue
579.30146,579.74588,water
579.89402,579.89402,tissue
580.04216,603.30014,water
603.44828,603.44828,tissue
603.59642,671.14826,water
671.29640,671.29640,tissue
671.44454,673.22222,water
673.37036,673.37036,tissue
673.51850,681.22178,water
681.36992,681.36992,tissue
681.51806,687.88808,water
688.03622,688.03622,tissue
688.18436,688.48064,water
688.62878,688.62878,tissue
688.77692,688.77692,water
688.92506,688.92506,tissue
689.07320,690.40646,water
690.55460,690.55460,tissue
690.70274,696.03578,water
696.18392,696.18392,tissue
696.33206,696.33206,water
696.48020,696.48020,tissue
696.62834,704.18348,water
704.33162,704.33162,tissue
704.47976,708.77582,water
708.92396,708.92396,tissue
709.07210,710.40536,water
710.55350,710.55350,tissue
710.70164,710.70164,water
710.84978,710.84978,tissue
710.99792,711.73862,water
711.88676,711.88676,tissue
712.03490,712.03490,water
712.18304,712.18304,tissue
712.33118,712.47932,water
712.62746,712.62746,tissue
712.77560,713.51630,water
713.66444,713.66444,tissue
713.81258,714.10886,water
714.25700,714.25700,tissue
714.40514,715.14584,water
715.29398,715.29398,tissue
715.44212,716.33096,water
716.47910,716.47910,tissue
716.62724,717.21980,water
717.36794,717.36794,tissue
717.51608,718.25678,water
718.40492,718.40492,tissue
718.55306,718.84934,water
718.99748,718.99748,tissue
719.14562,719.29376,water
719.44190,719.44190,tissue
719.59004,719.88632,water
720.03446,720.03446,tissue
720.18260,720.33074,water
720.47888,720.47888,tissue
720.62702,720.77516,water
720.92330,720.92330,tissue
721.07144,721.96028,water
722.10842,722.10842,tissue
722.25656,722.70098,water
722.84912,722.84912,tissue
722.99726,723.29354,water
723.44168,723.44168,tissue
723.58982,724.03424,water
724.18238,724.18238,tissue
724.33052,725.07122,water
725.21936,725.21936,tissue
725.36750,725.36750,water
725.51564,725.51564,tissue
725.66378,726.70076,water
726.84890,726.84890,tissue
726.99704,727.44146,water
727.58960,727.58960,tissue
727.73774,728.62658,water
728.77472,728.77472,tissue
728.92286,728.92286,water
729.07100,729.07100,tissue
729.21914,729.21914,water
729.36728,729.36728,tissue
729.51542,729.51542,water
729.66356,729.66356,tissue
729.81170,730.10798,water
730.25612,730.25612,tissue
730.40426,740.62592,water
